PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV,Season
893,1,Michael Jordan,1610612741,CHI,82,3311,1069,1998,0.535,7,53,0.132,723,860,0.841,139,310,449,485,259,131,252,270,2868,2874,1.93,1.03,1987
1122,2,Dominique Wilkins,1610612737,ATL,78,2948,909,1957,0.464,38,129,0.295,541,655,0.826,211,291,502,224,103,47,218,162,2397,1893,1.03,0.47,1987
1449,3,Larry Bird,1610612738,BOS,76,2965,881,1672,0.527,98,237,0.414,415,453,0.916,108,595,703,467,125,57,213,157,2275,2585,2.19,0.59,1987
252,4,Karl Malone,1610612762,UTH,82,3198,858,1650,0.52,0,5,0.0,552,789,0.7,277,709,986,199,117,50,325,296,2268,2266,0.61,0.36,1987
787,5,Charles Barkley,1610612755,PHL,80,3170,753,1283,0.587,44,157,0.28,714,951,0.751,385,566,951,254,100,103,304,278,2264,2601,0.84,0.33,1987
17,6,Clyde Drexler,1610612757,POR,81,3060,849,1679,0.506,11,52,0.212,476,587,0.811,261,272,533,467,203,52,236,250,2185,2263,1.98,0.86,1987
76673,7,Alex English,1610612743,DEN,80,2818,843,1704,0.495,0,6,0.0,314,379,0.828,166,207,373,377,70,23,181,193,2000,1736,2.08,0.39,1987
107,8,Dale Ellis,1610612760,SEA,75,2790,764,1519,0.503,107,259,0.413,303,395,0.767,167,173,340,197,74,11,172,221,1938,1541,1.15,0.43,1987
76016,9,Mark Aguirre,1610612742,DAL,77,2610,746,1571,0.475,52,172,0.302,388,504,0.77,182,252,434,278,70,57,203,223,1932,1627,1.37,0.34,1987
165,10,Hakeem Olajuwon,1610612745,HOU,79,2825,712,1385,0.514,0,4,0.0,381,548,0.695,302,657,959,163,162,214,243,324,1805,2220,0.67,0.67,1987
2,11,Byron Scott,1610612747,LAL,81,3048,710,1348,0.527,62,179,0.346,272,317,0.858,76,257,333,335,155,27,161,204,1754,1760,2.08,0.96,1987
901,12,Otis Thorpe,1610612758,SAC,82,3072,622,1226,0.507,0,6,0.0,460,609,0.755,279,558,837,266,62,56,228,264,1704,1944,1.17,0.27,1987
1472,13,Tom Chambers,1610612760,SEA,82,2680,611,1364,0.448,33,109,0.303,419,519,0.807,135,355,490,212,87,53,209,297,1674,1454,1.01,0.42,1987
1365,14,Xavier McDaniel,1610612760,SEA,78,2703,687,1407,0.488,14,50,0.28,281,393,0.715,206,312,518,263,96,52,223,230,1669,1543,1.18,0.43,1987
121,15,Patrick Ewing,1610612752,NYK,82,2546,656,1183,0.555,0,3,0.0,341,476,0.716,245,431,676,125,104,245,287,332,1653,1854,0.44,0.36,1987
117,16,Jeff Malone,1610612764,WAS,80,2655,648,1360,0.476,10,24,0.417,335,380,0.882,44,162,206,237,51,13,172,198,1641,1219,1.38,0.3,1987
187,17,Terry Cummings,1610612749,MIL,76,2629,675,1392,0.485,1,3,0.333,270,406,0.665,184,369,553,181,78,46,170,274,1621,1456,1.06,0.46,1987
926,18,Alvin Robertson,1610612759,SAN,82,2978,655,1408,0.465,27,95,0.284,273,365,0.748,165,333,498,557,243,69,251,300,1610,1881,2.22,0.97,1987
77449,19,Moses Malone,1610612764,WAS,79,2692,531,1090,0.487,2,7,0.286,543,689,0.788,372,512,884,112,59,72,249,160,1607,1780,0.45,0.24,1987
