PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV,TS%,fgadd,tstotal
76504,1,Adrian Dantley,1610612762,UTH,79,2984,802,1438,0.558,1,4,0.25,813,946,0.859,179,269,448,310,61,4,263,201,2418,2209,1.18,0.23,0.6520191560962982,417.2268632807487,2492.017214600052
78404,3,Kiki Vandeweghe,1610612743,DEN,78,2734,895,1603,0.558,11,30,0.367,494,580,0.852,84,289,373,238,53,50,156,187,2295,2059,1.53,0.34,0.6175330965450436,282.7327184606964,2337.980303519535
77264,5,Bernard King,1610612752,NYK,77,2667,795,1391,0.572,0,4,0.0,437,561,0.779,123,271,394,164,75,17,197,273,2027,1760,0.83,0.38,0.6188028134616325,253.89481627077984,2068.6578054022375
78041,20,Jeff Ruland,1610612764,WAS,75,3082,599,1035,0.579,1,7,0.143,466,636,0.733,265,657,922,296,68,72,342,285,1665,2075,0.86,0.2,0.633156886008944,244.35793629529564,1713.3225335402026
76539,45,Darryl Dawkins,1610612751,NJN,81,2417,507,855,0.593,2,5,0.4,341,464,0.735,159,382,541,123,60,136,231,386,1357,1515,0.53,0.26,0.6406019864798519,212.5027783224871,1392.6687186071981
76362,47,Bill Cartwright,1610612752,NYK,77,2487,453,808,0.561,0,1,0.0,404,502,0.805,195,454,649,107,44,97,200,262,1310,1554,0.54,0.22,0.6366145711842002,198.58358011081413,1348.349661768136
600014,77,Artis Gilmore,1610612759,SAN,64,2034,351,556,0.631,0,3,0.0,280,390,0.718,213,449,662,70,36,132,149,229,982,1418,0.47,0.24,0.6748213304013194,198.21400150673955,1013.5816382627818
76003,18,Kareem Abdul-Jabbar,1610612747,LAL,80,2622,716,1238,0.578,0,1,0.0,285,394,0.723,169,418,587,211,55,143,221,211,1717,1861,0.95,0.25,0.6082785398480898,187.76665471032845,1745.7594093640178
77691,52,Calvin Natt,1610612757,POR,79,2638,500,857,0.583,2,17,0.118,275,345,0.797,166,310,476,179,69,22,166,218,1277,1430,1.08,0.42,0.6329302141157812,185.46565168949942,1303.2033108643934
76176,10,Rolando Blackman,1610612742,DAL,81,3025,721,1320,0.546,1,11,0.091,372,458,0.812,124,249,373,288,56,37,169,127,1815,1715,1.7,0.33,0.596443030653557,166.01690132808915,1847.7805089647195
77142,61,Magic Johnson,1610612747,LAL,67,2567,441,780,0.565,6,29,0.207,290,358,0.81,99,392,491,875,150,49,306,169,1178,2030,2.86,0.49,0.6282532639303695,163.7946022303735,1204.9897602184487
76583,83,James Donaldson,1610612746,SDC,82,2525,360,604,0.596,0,0,0.0,249,327,0.761,165,484,649,90,40,139,171,214,969,1394,0.53,0.23,0.6478312028667701,161.1390572390242,994.4208964004921
1450,31,Kevin McHale,1610612738,BOS,82,2577,587,1055,0.556,1,3,0.333,336,439,0.765,208,402,610,104,23,126,150,243,1511,1653,0.69,0.15,0.6052909883348289,159.15030710093043,1542.8867292654788
77685,38,Larry Nance,1610612756,PHX,82,2899,601,1044,0.576,0,7,0.0,249,352,0.707,227,451,678,214,86,174,177,274,1451,1880,1.21,0.49,0.6051481382623781,151.9961885953937,1476.5614573602027
78351,26,Andrew Toney,1610612755,PHL,78,2556,593,1125,0.527,12,38,0.316,390,465,0.839,57,136,193,373,70,23,297,251,1588,1343,1.26,0.24,0.5971720818291216,147.47191335604217,1621.3222021660652
77626,21,Sidney Moncrief,1610612749,MIL,79,3075,560,1125,0.498,5,18,0.278,529,624,0.848,215,313,528,358,108,27,217,204,1654,1798,1.65,0.5,0.590899997141959,138.0824186589159,1698.24659178599
76016,2,Mark Aguirre,1610612742,DAL,79,2900,925,1765,0.524,15,56,0.268,465,621,0.749,161,308,469,358,80,22,285,246,2330,1978,1.26,0.28,0.5715715519271528,119.20399129439745,2372.5935120496115
100263,41,Bill Laimbeer,1610612765,DET,82,2864,553,1044,0.53,0,11,0.0,316,365,0.866,329,674,1003,149,49,84,151,273,1422,2016,0.99,0.33,0.5902374232110245,116.23002033333304,1447.852399136643
76093,71,Gene Banks,1610612759,SAN,80,2600,424,747,0.568,1,6,0.167,200,270,0.741,204,378,582,254,105,23,166,256,1049,1454,1.53,0.63,0.6057981057981058,111.0323118651033,1068.6278586278586
77487,85,Cedric Maxwell,1610612738,BOS,80,2502,317,596,0.532,1,6,0.167,320,425,0.753,201,260,461,205,63,24,203,224,955,1121,1.01,0.31,0.6098339719029374,108.30561470119079,986.1015325670498
305,30,Robert Parish,1610612738,BOS,80,2867,623,1140,0.546,0,0,0.0,274,368,0.745,243,614,857,139,55,116,184,266,1520,1892,0.76,0.3,0.58375322600467,108.29951307954059,1545.778542460366
76350,51,Kenny Carr,1610612757,POR,82,2455,518,923,0.561,0,5,0.0,247,367,0.673,208,434,642,157,68,33,202,274,1283,1456,0.78,0.34,0.5915277367955148,107.71361112826037,1309.0508815284743
600005,80,Bob Lanier,1610612749,MIL,72,2007,392,685,0.572,0,3,0.0,194,274,0.708,141,314,455,186,58,51,163,228,978,1192,1.14,0.36,0.6070311336213318,105.5061911122621,997.9591836734694
76673,4,Alex English,1610612743,DEN,82,2870,907,1714,0.529,1,7,0.143,352,427,0.824,216,248,464,406,83,95,222,252,2167,2111,1.83,0.37,0.5696994552758323,103.48684636360476,2196.1914000883335
1460,60,James Worthy,1610612747,LAL,82,2415,495,890,0.556,0,6,0.0,195,257,0.759,157,358,515,207,77,70,181,244,1185,1416,1.14,0.42,0.590680703433425,97.42173532260986,1203.2165928938869
77819,16,Jim Paxson,1610612757,POR,81,2686,680,1322,0.514,17,59,0.288,345,410,0.841,68,105,173,251,122,10,142,165,1722,1429,1.77,0.86,0.5730830670926518,92.31768247156245,1750.1956869009584
78149,27,Jack Sikma,1610612760,SEA,82,2993,576,1155,0.499,0,2,0.0,411,480,0.856,225,686,911,327,95,92,236,301,1563,2104,1.39,0.4,0.5720245937637242,81.3842314147999,1595.9486166007905
76385,87,Maurice Cheeks,1610612755,PHL,75,2494,386,702,0.55,8,20,0.4,170,232,0.733,44,161,205,478,171,20,182,196,950,1264,2.63,0.94,0.5907372400756143,78.33596914926761,966.446124763705
76516,94,Brad Davis,1610612742,DAL,81,2665,345,651,0.53,7,38,0.184,199,238,0.836,41,146,187,561,94,13,166,218,896,1240,3.38,0.57,0.5928121526491292,76.93460282645994,912.930715079659
77530,114,Mike McGee,1610612747,LAL,77,1425,347,584,0.594,2,13,0.154,61,113,0.54,117,76,193,81,49,6,111,176,757,686,0.73,0.44,0.5972669317679732,69.70217349324896,765.0989395947737
