PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV,TS%,fgadd,tstotal
2544,2,LeBron James,1610612739,CLE,81,3054,789,1613,0.489,132,384,0.344,594,762,0.78,106,507,613,587,137,93,241,139,2304,2501,2.44,0.57,0.5912907795594062,187.06080593367147,2358.0676288829122
951,32,Ray Allen,1610612738,BOS,79,2876,499,1040,0.48,199,486,0.409,237,249,0.952,66,212,278,218,69,13,134,157,1434,1325,1.63,0.52,0.6237169003792756,184.7643213020939,1452.6366609833328
2200,20,Pau Gasol,1610612747,LAL,81,2999,592,1045,0.567,1,2,0.5,343,439,0.781,262,518,780,284,52,81,157,172,1528,2019,1.81,0.33,0.6170446468953932,183.7566002535573,1560.5059119984494
2397,22,Yao Ming,1610612745,HOU,77,2589,566,1032,0.548,1,1,1.0,381,440,0.866,204,557,761,137,30,150,234,257,1514,1833,0.58,0.13,0.6176566579634465,183.47258130353458,1546.61227154047
2403,67,Nene,1610612743,DEN,77,2510,428,709,0.604,1,5,0.2,266,368,0.723,183,415,598,108,95,101,147,278,1123,1495,0.73,0.65,0.6447205254213935,179.19949787418756,1151.4708584026087
406,38,Shaquille O'Neal,1610612756,PHX,75,2252,512,841,0.609,0,1,0.0,309,519,0.595,187,446,633,126,49,108,168,253,1333,1542,0.75,0.29,0.6232699932670007,173.62617762016745,1371.8172551806686
101108,7,Chris Paul,1610612740,NOH,78,3002,631,1255,0.503,64,176,0.364,455,524,0.868,69,363,432,861,216,10,231,212,1781,2376,3.73,0.94,0.5994372492528071,167.0289480274008,1818.6926142330167
2730,15,Dwight Howard,1610612753,ORL,79,2821,560,979,0.572,0,2,0.0,504,849,0.594,336,757,1093,112,77,231,240,270,1624,2133,0.47,0.32,0.6003430531732419,157.07464734392028,1685.16295025729
2405,66,Amar'e Stoudemire,1610612756,PHX,53,1948,404,749,0.539,3,7,0.429,323,387,0.835,116,314,430,104,49,57,150,163,1134,1215,0.69,0.33,0.6167870507353581,136.47812893622063,1162.64359063615
959,62,Steve Nash,1610612756,PHX,74,2484,428,851,0.503,108,246,0.439,196,210,0.933,19,204,223,717,55,10,248,108,1160,1480,2.89,0.22,0.6147975408098367,134.62904509988525,1175.4928980284078
2548,1,Dwyane Wade,1610612748,MIA,79,3048,854,1739,0.491,88,278,0.317,590,771,0.765,89,309,398,589,173,106,272,178,2386,2314,2.17,0.64,0.5740434213565325,126.01922585159896,2439.110497343907
2755,47,Kevin Martin,1610612758,SAC,51,1947,341,811,0.42,115,277,0.415,457,527,0.867,29,154,183,138,61,8,146,116,1254,958,0.94,0.42,0.601219699294262,122.13806895941768,1292.0211337833691
101122,10,Danny Granger,1610612754,IND,67,2424,571,1277,0.447,182,450,0.404,404,460,0.878,49,292,341,183,69,97,165,207,1728,1491,1.11,0.42,0.584020548871164,119.4619652984376,1760.237934297688
