PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV,TS%,fgadd,tstotal
406,2,Shaquille O'Neal,1610612753,ORL,81,3224,953,1591,0.599,0,2,0.0,471,850,0.554,384,688,1072,195,76,231,222,281,2377,2712,0.88,0.34,0.6048346055979644,310.73589402378116,2438.6931297709925
397,13,Reggie Miller,1610612754,IND,79,2638,524,1042,0.503,123,292,0.421,403,444,0.908,30,182,212,248,119,24,175,193,1574,1443,1.42,0.68,0.6360315510441584,273.6923513251111,1607.8877610396326
764,1,David Robinson,1610612759,SAN,80,3241,840,1658,0.507,10,29,0.345,693,925,0.749,241,614,855,381,139,265,253,228,2383,2720,1.51,0.55,0.5769975786924939,208.78615663071895,2447.0467312348665
304,45,John Stockton,1610612762,UTH,82,2969,458,868,0.528,48,149,0.322,272,338,0.805,72,186,258,1031,199,22,266,236,1236,2004,3.88,0.75,0.6078369659296561,166.06475351377227,1260.6538673381067
431,21,Shawn Kemp,1610612760,SEA,79,2597,533,990,0.538,1,4,0.25,364,491,0.741,312,539,851,207,142,166,259,312,1431,1954,0.8,0.55,0.5932639050114424,161.8424283479173,1465.9551092832742
165,3,Hakeem Olajuwon,1610612745,HOU,80,3277,894,1694,0.528,8,19,0.421,388,542,0.716,229,726,955,287,128,297,271,289,2184,2626,1.06,0.47,0.565076999503229,146.62762380003593,2220.75260804769
297,40,Alonzo Mourning,1610612766,CHH,60,2018,427,845,0.505,0,2,0.0,433,568,0.762,177,433,610,86,27,188,199,207,1287,1446,0.43,0.14,0.5877141708983304,135.36032449626663,1327.05859788843
899,36,Mark Price,1610612739,CLE,76,2386,480,1005,0.478,118,297,0.397,238,268,0.888,39,189,228,589,103,11,189,93,1316,1503,3.12,0.55,0.585972286538667,132.59125191163403,1334.8448687350833
901,59,Otis Thorpe,1610612745,HOU,82,2909,449,801,0.561,0,2,0.0,251,382,0.657,271,599,870,189,66,28,185,253,1149,1634,1.02,0.36,0.5928303132868287,129.0852731775196,1176.175341561068
22,46,Rik Smits,1610612754,IND,78,2113,493,923,0.534,0,1,0.0,238,300,0.793,135,348,483,156,49,82,151,281,1224,1351,1.03,0.33,0.5800947867298578,112.29506214531166,1244.8834123222748
87,84,Dikembe Mutombo,1610612743,DEN,82,2853,365,642,0.569,0,1,0.0,256,439,0.583,286,685,971,127,59,336,206,262,986,1813,0.62,0.29,0.5903060491402845,107.75448606344105,1017.0973226687101
765,55,Hersey Hawkins,1610612766,CHH,82,2648,395,859,0.46,78,235,0.332,312,362,0.862,89,288,377,216,135,22,158,167,1180,1258,1.37,0.85,0.5794084141886319,107.41378465863413,1205.1695015123544
278,48,Stacey Augmon,1610612737,ATL,82,2605,439,861,0.51,1,7,0.143,333,436,0.764,178,216,394,187,149,45,147,179,1212,1315,1.27,1.01,0.575586033965275,103.19310506132871,1242.1146612970633
107,57,Dale Ellis,1610612759,SAN,77,2590,478,967,0.494,131,332,0.395,83,107,0.776,70,185,255,80,66,11,75,141,1170,994,1.07,0.88,0.576877563900284,100.23431075776672,1177.4071079204796
433,125,Buck Williams,1610612757,POR,81,2636,291,524,0.555,0,1,0.0,201,296,0.679,315,528,843,80,58,47,111,239,783,1372,0.72,0.52,0.598404255319149,94.93624056653243,804.2553191489362
931,27,Don MacLean,1610612764,WAS,75,2487,517,1030,0.502,3,21,0.143,328,398,0.824,140,327,467,160,47,22,152,169,1365,1326,1.05,0.31,0.5663336431226766,94.79638709051797,1392.048094795539
932,152,Oliver Miller,1610612756,PHX,69,1786,277,455,0.609,2,9,0.222,80,137,0.584,140,336,476,244,83,156,164,230,636,1196,1.49,0.51,0.6171401956217979,93.5735561882123,646.1457848160223
134,30,Kevin Johnson,1610612756,PHX,67,2449,477,980,0.487,6,27,0.222,380,464,0.819,55,112,167,637,125,10,235,127,1340,1457,2.71,0.53,0.5658019186596406,92.19622695913334,1371.5038508309688
787,25,Charles Barkley,1610612756,PHX,65,2298,518,1046,0.495,48,178,0.27,318,452,0.704,198,529,727,296,101,37,206,160,1402,1695,1.44,0.49,0.5631064841591157,89.90321124124026,1432.5428957007903
423,142,Chris Gatling,1610612744,GOS,82,1296,271,461,0.588,0,1,0.0,129,208,0.62,143,254,397,41,40,63,84,223,671,859,0.49,0.48,0.607217838268298,89.7792533755307,686.1561572431767
364,68,Rex Chapman,1610612764,WAS,60,2025,431,865,0.498,64,165,0.388,168,206,0.816,57,89,146,185,59,8,117,83,1094,903,1.58,0.5,0.5723912770499351,86.39226822021172,1108.1495123686743
252,4,Karl Malone,1610612762,UTH,82,3329,772,1552,0.497,8,32,0.25,511,736,0.694,235,705,940,328,125,126,234,268,2063,2343,1.4,0.53,0.5498869839645173,84.94007961687842,2111.5660184237463
288,87,Armen Gilliam,1610612751,NJN,82,1969,348,682,0.51,0,1,0.0,274,361,0.759,197,303,500,69,38,61,106,129,970,1111,0.65,0.36,0.5768041482327196,84.58878475304364,994.9871557014413
181,98,Kenny Smith,1610612745,HOU,78,2209,341,711,0.48,89,220,0.405,135,155,0.871,24,114,138,327,59,4,126,121,906,918,2.6,0.47,0.5813655030800821,84.52456880040637,916.8133983572894
121,5,Patrick Ewing,1610612752,NYK,79,2972,745,1503,0.496,4,14,0.286,445,582,0.765,219,666,885,179,90,217,260,275,1939,2155,0.69,0.35,0.5511403688291607,83.86303178636142,1977.4916433590288
761,179,Matt Geiger,1610612748,MIA,72,1199,202,352,0.574,1,5,0.2,116,149,0.779,119,184,303,32,36,29,61,201,521,677,0.53,0.59,0.6238624389309321,81.96926306374694,532.1546604080851
344,70,Dana Barros,1610612755,PHL,81,2519,412,878,0.469,135,354,0.381,116,145,0.8,28,168,196,424,107,5,167,96,1075,1145,2.54,0.64,0.5707156508812912,81.645059181622,1084.9304523253345
782,7,Mitch Richmond,1610612758,SAC,78,2897,635,1428,0.445,127,312,0.407,426,511,0.834,70,216,286,313,103,17,216,211,1823,1448,1.45,0.48,0.5514750369061736,79.82438260612703,1856.8164492630865
