PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV,TS%,fgadd,tstotal
252,2,Karl Malone,1610612762,UTH,82,3099,797,1443,0.552,4,20,0.2,619,836,0.74,227,692,919,308,124,85,240,261,2217,2550,1.28,0.52,0.6121468489761658,281.756693759845,2278.4105718892893
397,12,Reggie Miller,1610612754,IND,82,2954,571,1193,0.479,167,419,0.399,427,485,0.88,67,191,258,262,120,26,145,182,1736,1577,1.81,0.83,0.6171786120591581,231.7818897651977,1771.919795221843
921,30,Brad Daugherty,1610612739,CLE,71,2691,520,911,0.571,1,2,0.5,391,492,0.795,164,562,726,312,53,56,150,174,1432,1937,2.08,0.35,0.6350445240713805,228.15582451215408,1469.4930287011744
787,6,Charles Barkley,1610612756,PHX,76,2859,716,1376,0.52,67,220,0.305,445,582,0.765,237,691,928,385,119,74,233,196,1944,2420,1.65,0.51,0.5955590412234695,197.08120784432222,1985.5938434390473
77845,20,Drazen Petrovic,1610612751,NJN,70,2660,587,1134,0.518,75,167,0.449,315,362,0.87,42,148,190,247,94,13,204,237,1564,1310,1.21,0.46,0.6046641098602005,179.41231030781412,1590.2666089323272
899,40,Mark Price,1610612739,CLE,75,2380,477,986,0.484,122,293,0.416,289,305,0.948,37,164,201,602,89,11,196,105,1365,1547,3.07,0.45,0.6092662024638457,165.81045937214753,1387.2991430101765
181,76,Kenny Smith,1610612745,HOU,82,2422,387,744,0.52,96,219,0.438,195,222,0.878,28,132,160,446,80,7,163,110,1065,1211,2.74,0.49,0.632663244938694,164.5306314885441,1081.8541488451667
765,14,Hersey Hawkins,1610612755,PHL,81,2977,551,1172,0.47,122,307,0.397,419,487,0.86,91,255,346,317,137,30,180,189,1643,1604,1.76,0.76,0.5925931269296246,158.95109693624767,1677.6311423377674
406,8,Shaquille O'Neal,1610612753,ORL,81,3071,733,1304,0.562,0,2,0.0,427,721,0.592,342,780,1122,152,60,286,307,321,1893,2341,0.49,0.2,0.5838123905159014,157.68104493960143,1943.5114480274358
165,3,Hakeem Olajuwon,1610612745,HOU,82,3242,848,1603,0.529,0,8,0.0,444,570,0.779,283,785,1068,291,150,342,262,305,2140,2848,1.11,0.57,0.577192793181573,153.857997849756,2179.47998705362
297,15,Alonzo Mourning,1610612766,CHH,78,2644,572,1119,0.511,0,3,0.0,495,634,0.781,263,542,805,76,27,271,236,286,1639,1896,0.32,0.11,0.5862113365189275,142.92460652433644,1683.5989584823599
1122,4,Dominique Wilkins,1610612737,ATL,71,2647,741,1584,0.468,120,316,0.38,519,627,0.828,187,295,482,227,70,27,184,116,2121,1792,1.23,0.38,0.5701980772953094,128.0872306056506,2163.901703335699
893,1,Michael Jordan,1610612741,CHI,78,3067,992,2003,0.495,81,230,0.352,476,569,0.837,135,387,522,428,221,61,207,188,2541,2462,2.07,1.07,0.5638246884652253,125.25520592340654,2579.4979497284057
920,78,A.C. Green,1610612747,LAL,82,2819,379,706,0.537,16,46,0.348,277,375,0.739,287,424,711,116,88,39,116,149,1051,1464,1.0,0.76,0.6033295063145809,119.5199298214166,1078.149827784156
76,98,Cedric Ceballos,1610612756,PHX,74,1607,381,662,0.576,0,2,0.0,187,258,0.725,172,236,408,77,54,28,106,103,949,1058,0.73,0.51,0.6118475345574582,119.28443448967846,967.9427996698989
913,9,Larry Johnson,1610612766,CHH,82,3323,728,1385,0.526,18,71,0.254,336,438,0.767,281,583,864,353,53,27,227,187,1810,2121,1.55,0.23,0.5736125548259514,119.22869946057301,1840.1490758816522
77685,45,Larry Nance,1610612739,CLE,77,2753,533,971,0.549,0,4,0.0,202,247,0.818,184,484,668,223,54,198,107,223,1268,1821,2.08,0.51,0.5872110254890337,111.12354327874222,1285.4049347954947
764,7,David Robinson,1610612759,SAN,82,3211,676,1348,0.501,3,17,0.176,561,766,0.732,229,727,956,301,127,264,241,239,1916,2446,1.25,0.53,0.5685324977448607,111.08171942158059,1968.2595071927078
140,140,Donald Royal,1610612753,ORL,77,1636,194,391,0.496,0,3,0.0,318,390,0.815,116,179,295,80,36,25,113,179,706,760,0.71,0.32,0.627444009953786,106.64908005065494,735.3643796658372
345,26,Terry Porter,1610612757,POR,81,2883,503,1108,0.454,143,345,0.414,327,388,0.843,58,258,316,419,101,10,199,122,1476,1457,2.11,0.51,0.5771396396396397,105.96493203294024,1502.8716216216217
304,47,John Stockton,1610612762,UTH,82,2863,437,899,0.486,72,187,0.385,293,367,0.798,64,173,237,987,199,21,266,224,1239,1881,3.71,0.75,0.5841694327097163,103.3201463328587,1264.726821816536
107,39,Dale Ellis,1610612759,SAN,82,2731,545,1092,0.499,119,297,0.401,157,197,0.797,81,231,312,107,78,18,111,179,1366,1183,0.96,0.7,0.579461770794448,102.419356480225,1379.6984762615807
96,19,Detlef Schrempf,1610612754,IND,82,3098,517,1085,0.476,8,52,0.154,525,653,0.804,210,570,780,493,79,27,243,305,1567,2007,2.03,0.33,0.5709309781975049,97.34967806106192,1611.7381514515564
76017,100,Danny Ainge,1610612756,PHX,80,2163,337,730,0.462,150,372,0.403,123,145,0.848,49,165,214,260,69,8,113,175,947,970,2.3,0.61,0.5964978584026204,96.38242802428799,957.3790627362057
101,55,Scott Skiles,1610612753,ORL,78,3086,416,891,0.467,80,235,0.34,289,324,0.892,52,238,290,735,86,2,267,244,1201,1537,2.75,0.32,0.5810015867487132,93.83300979042313,1223.58934169279
330,11,Danny Manning,1610612746,LAC,79,2761,702,1379,0.509,8,30,0.267,388,484,0.802,198,322,520,207,108,101,230,323,1800,1733,0.9,0.47,0.5653408377094902,93.67543838623119,1832.8349958541671
783,69,Frank Brickowski,1610612749,MIL,66,2075,456,836,0.545,8,26,0.308,195,268,0.728,120,285,405,196,80,44,202,235,1115,1185,0.97,0.4,0.5844305602146931,93.08907414290935,1133.7952868165046
105,36,Dan Majerle,1610612756,PHX,82,3199,509,1096,0.464,167,438,0.381,203,261,0.778,120,263,383,311,138,33,133,180,1388,1475,2.34,1.04,0.5731558257077731,90.04797258058547,1405.9512404611676
894,33,Ricky Pierce,1610612760,SEA,77,2218,524,1071,0.489,42,113,0.372,313,352,0.889,58,134,192,220,100,7,160,167,1403,1176,1.38,0.63,0.5722419812705974,89.2739268517842,1427.17150128887
904,57,Chris Mullin,1610612744,GOS,46,1902,474,930,0.51,60,133,0.451,183,226,0.81,42,190,232,166,68,41,139,76,1191,1060,1.19,0.49,0.5784698476841778,87.66070039439084,1206.6881022691948
