PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV,TS%,fgadd,tstotal
959,29,Steve Nash,1610612756,PHX,79,2796,541,1056,0.512,150,342,0.439,257,279,0.921,47,286,333,826,61,12,276,120,1489,1908,2.99,0.22,0.6315959143506736,229.54849883072592,1510.1458312124607
1717,5,Dirk Nowitzki,1610612742,DAL,81,3089,751,1564,0.48,110,271,0.406,539,598,0.901,115,613,728,226,58,83,156,164,2151,2218,1.45,0.37,0.5886312885853147,197.62928187350656,2193.240181268882
2240,4,Gilbert Arenas,1610612764,WAS,80,3384,746,1668,0.447,199,540,0.369,655,799,0.82,59,221,280,484,161,25,297,286,2346,1933,1.63,0.54,0.5808195844639427,187.02149142027108,2401.688981758403
951,10,Ray Allen,1610612760,SEA,78,3022,681,1500,0.454,269,653,0.412,324,359,0.903,71,261,332,286,105,16,188,151,1955,1652,1.52,0.56,0.5895799657410311,181.34998762163625,1980.3991049241235
2210,24,Richard Jefferson,1610612751,NJN,78,3059,495,1005,0.493,60,188,0.319,471,580,0.812,95,439,534,297,59,17,174,193,1521,1635,1.71,0.34,0.603475638787494,175.82202538445554,1563.0019044596095
1718,7,Paul Pierce,1610612738,BOS,79,3084,689,1462,0.471,111,314,0.354,627,812,0.772,77,453,530,375,107,34,273,223,2116,1931,1.37,0.39,0.5815487445582868,171.6993034053674,2172.6661096697594
1497,28,Chauncey Billups,1610612765,DET,81,2925,423,1012,0.418,184,425,0.433,465,520,0.894,41,211,252,699,71,8,170,160,1495,1711,4.11,0.42,0.6024339136041263,170.0491687312173,1532.5918762088975
1890,13,Shawn Marion,1610612756,PHX,81,3263,716,1365,0.525,96,290,0.331,241,298,0.809,249,710,959,143,160,137,125,223,1769,2337,1.14,1.28,0.5911958933775366,168.37256520912456,1790.141165147181
708,17,Kevin Garnett,1610612750,MIN,76,2957,626,1191,0.526,8,30,0.267,396,489,0.81,214,752,966,308,104,107,180,206,1656,2303,1.71,0.58,0.5888376856118791,152.87213329720032,1690.5529953917048
2548,8,Dwyane Wade,1610612748,MIA,75,2892,699,1413,0.495,13,76,0.171,629,803,0.783,107,323,430,503,146,58,268,217,2040,2021,1.88,0.55,0.5774718057883057,151.9865804398411,2095.6451832057614
1882,11,Elton Brand,1610612746,LAC,79,3099,756,1435,0.527,1,3,0.333,440,568,0.775,236,554,790,208,81,201,173,227,1953,2253,1.2,0.47,0.5795527384089452,151.1415330822395,1992.5023146499534
2544,2,LeBron James,1610612739,CLE,79,3361,875,1823,0.48,127,379,0.335,601,814,0.738,75,481,556,521,123,66,260,181,2478,2323,2.0,0.47,0.5680463606521301,144.75230492734715,2533.4867685085
1887,35,Wally Szczerbiak,1610612738,BOS,72,2729,493,1012,0.487,102,255,0.4,278,310,0.897,77,236,313,213,40,19,136,150,1366,1264,1.57,0.29,0.5947405085336119,138.05568368910693,1388.1243469174503
2072,9,Michael Redd,1610612749,MIL,80,3130,682,1516,0.45,163,413,0.395,501,571,0.877,78,264,342,229,95,5,170,157,2028,1625,1.35,0.56,0.5737760575813132,137.58189055899297,2067.3151354654715
2547,22,Chris Bosh,1610612761,TOR,70,2751,549,1087,0.505,0,13,0.0,474,581,0.816,204,443,647,181,50,79,157,209,1572,1727,1.15,0.32,0.5854138115950664,137.2627085304895,1612.815050944408
1740,23,Rashard Lewis,1610612760,SEA,78,2876,538,1151,0.467,142,370,0.384,350,428,0.818,111,279,390,182,102,50,141,191,1568,1460,1.29,0.72,0.5853716811516292,135.90211430256923,1598.0646895439477
2229,21,Mike James,1610612761,TOR,79,2925,576,1228,0.469,169,382,0.442,283,338,0.837,45,217,262,460,72,3,206,214,1604,1488,2.23,0.35,0.5825440176651752,131.1876061534183,1627.6279853564995
2225,27,Tony Parker,1610612759,SAS,80,2715,623,1136,0.548,11,36,0.306,253,358,0.707,38,223,261,460,83,4,249,161,1510,1451,1.85,0.33,0.5836786443193765,126.47132800874225,1535.0748345599604
2397,44,Yao Ming,1610612745,HOU,57,1949,467,900,0.519,0,1,0.0,337,395,0.853,148,433,581,85,30,94,147,195,1271,1423,0.58,0.2,0.5918234308064817,123.43087287120692,1299.0524306202274
977,1,Kobe Bryant,1610612747,LAL,80,3277,978,2173,0.45,180,518,0.347,696,819,0.85,71,354,425,360,147,30,250,233,2832,2226,1.44,0.59,0.5589414848264754,120.60687128196183,2886.932769128746
2201,77,Eddy Curry,1610612752,NYK,72,1865,336,597,0.563,0,0,0.0,307,486,0.632,145,287,432,19,28,56,179,239,979,895,0.11,0.16,0.6036949336490552,114.41513453571838,1014.2074885304128
2735,125,Josh Childress,1610612737,ATL,74,2249,278,504,0.552,32,65,0.492,154,201,0.766,134,253,387,131,86,39,101,184,742,1011,1.3,0.85,0.6262237526162986,109.57537644906597,757.104516913105
2738,70,Andre Iguodala,1610612755,PHI,82,3086,344,688,0.5,56,158,0.354,263,349,0.754,117,364,481,255,135,21,153,198,1007,1316,1.67,0.88,0.5982936451352251,108.16260295299668,1032.0565378582633
2546,6,Carmelo Anthony,1610612743,DEN,80,2941,756,1572,0.481,37,152,0.243,573,709,0.808,122,272,394,216,88,42,218,229,2122,1692,0.99,0.4,0.5631754389689803,106.28404971560138,2169.914966347481
406,51,Shaquille O'Neal,1610612748,MIA,59,1806,480,800,0.6,0,0,0.0,221,471,0.469,172,369,541,113,23,104,168,230,1181,1224,0.67,0.14,0.5862555101068265,104.9268488580162,1214.1351614312377
2034,69,Mike Miller,1610612763,MEM,74,2268,354,760,0.466,138,339,0.407,168,210,0.8,42,355,397,200,52,27,140,173,1014,1102,1.43,0.37,0.5947911778507743,102.41684934206489,1028.9887376818394
1952,54,Raja Bell,1610612756,PHX,79,2959,425,930,0.457,197,446,0.442,115,146,0.788,44,209,253,207,76,22,89,248,1162,1095,2.33,0.85,0.5843659478596717,97.84317348188408,1172.2380914065013
1938,76,Manu Ginobili,1610612759,SAS,65,1813,309,669,0.462,83,217,0.382,280,360,0.778,42,188,230,235,101,26,121,156,981,1012,1.94,0.83,0.5928208846990572,97.17687586007591,1006.6098622189992
1891,34,Jason Terry,1610612742,DAL,80,2798,516,1099,0.47,171,416,0.411,168,210,0.8,31,127,158,306,100,27,135,196,1371,1202,2.27,0.74,0.5753735101561188,95.7970383968721,1385.4994124559341
2755,113,Kevin Martin,1610612758,SAC,72,1913,262,546,0.48,66,179,0.369,188,222,0.847,58,203,261,97,55,9,81,138,778,801,1.2,0.68,0.6043375590355455,90.3333899839994,794.0995525727068
