PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV,TS%,fgadd,tstotal
978,2,Peja Stojakovic,1610612758,SAC,81,3265,665,1386,0.48,240,554,0.433,394,425,0.927,91,417,508,173,108,14,153,159,1964,1862,1.13,0.71,0.6242848061029879,345.57221888993945,1995.8385251112522
1894,18,Corey Maggette,1610612746,LAC,73,2628,453,1013,0.447,76,231,0.329,526,620,0.848,96,334,430,224,65,16,207,217,1508,1382,1.08,0.31,0.5864053507543942,185.78412698521248,1551.6285580961269
1899,58,James Posey,1610612763,MEM,82,2448,368,770,0.478,112,290,0.386,278,335,0.83,92,311,403,122,137,40,112,248,1126,1257,1.09,1.22,0.6136908654894266,182.81008997598389,1150.670372792675
2397,24,Yao Ming,1610612745,HOU,82,2693,535,1025,0.522,0,2,0.0,361,446,0.809,197,538,735,122,22,156,204,273,1431,1687,0.6,0.11,0.5858799253218041,173.94068511764388,1462.356293603223
406,23,Shaquille O'Neal,1610612747,LAL,67,2464,554,948,0.584,0,0,0.0,331,676,0.49,246,523,769,196,34,166,195,225,1439,1670,1.0,0.17,0.5777074768756423,158.21741857506956,1485.8636305241519
2210,17,Richard Jefferson,1610612751,NJN,82,3136,555,1115,0.498,48,132,0.364,357,468,0.763,109,355,464,315,92,28,198,224,1515,1545,1.59,0.47,0.5734639493686219,154.51931244217784,1547.2057353965417
699,137,Brent Barry,1610612760,SEA,59,1801,215,427,0.504,114,252,0.452,91,110,0.827,21,183,204,342,85,16,139,121,635,912,2.46,0.61,0.6678586453512831,146.20650071314884,643.8157341186369
959,57,Steve Nash,1610612742,DAL,78,2613,397,845,0.47,104,257,0.405,230,251,0.916,59,173,232,687,67,8,209,139,1128,1444,3.29,0.32,0.5903039437327304,143.85099001339117,1145.7799547852298
208,12,Sam Cassell,1610612750,MIN,81,2838,620,1270,0.488,74,186,0.398,289,331,0.873,44,227,271,592,102,18,220,247,1603,1674,2.69,0.46,0.5661750162470685,143.50080659641614,1625.4884716453334
1712,47,Antawn Jamison,1610612742,DAL,82,2376,488,913,0.535,16,40,0.4,220,294,0.748,233,287,520,70,83,30,81,174,1212,1335,0.86,1.02,0.5813730381058367,138.1834810129685,1232.5108407843738
1717,7,Dirk Nowitzki,1610612742,DAL,77,2914,605,1310,0.462,99,290,0.341,371,423,0.877,90,580,670,207,92,104,135,216,1680,1861,1.53,0.68,0.5614522899232682,137.72660324387004,1708.4993182365051
2073,117,Brian Cardinal,1610612744,GSW,76,1634,220,466,0.472,55,124,0.444,238,271,0.878,100,217,317,103,66,20,84,206,733,876,1.23,0.79,0.6262388080103889,132.38612858130884,753.3652860364979
1710,19,Mike Bibby,1610612758,SAC,82,2980,527,1170,0.45,148,378,0.392,304,373,0.815,67,210,277,444,112,18,175,146,1506,1470,2.54,0.64,0.5644169939735556,130.8339994333588,1531.2633046502563
1882,30,Elton Brand,1610612746,LAC,69,2669,484,982,0.493,0,1,0.0,411,532,0.773,269,445,714,227,64,154,193,229,1379,1726,1.18,0.33,0.56698572462338,126.7807601743774,1415.1963686599565
1548,97,Mark Blount,1610612738,BOS,82,2402,342,604,0.566,0,0,0.0,159,221,0.719,207,382,589,75,80,106,150,253,843,1219,0.5,0.53,0.601078090240146,121.30200740914117,858.9405909531687
951,41,Ray Allen,1610612760,SEA,56,2152,447,1017,0.44,148,378,0.392,245,271,0.904,69,217,286,268,71,11,156,132,1287,1171,1.72,0.46,0.566341617968035,115.594521740335,1305.4174294163206
708,1,Kevin Garnett,1610612750,MIN,82,3232,804,1611,0.499,11,43,0.256,368,465,0.791,245,894,1139,409,120,178,212,202,1987,2717,1.93,0.57,0.547202026878167,114.33341296906036,2017.5338730998017
397,108,Reggie Miller,1610612754,IND,80,2254,260,594,0.438,134,334,0.401,146,165,0.885,18,170,188,249,65,11,68,96,800,892,3.66,0.96,0.6000600060006,113.4732080382876,811.8811881188119
1802,73,Brad Miller,1610612758,SAC,72,2621,373,731,0.51,12,38,0.316,256,329,0.778,191,552,743,312,68,86,144,247,1014,1648,2.17,0.47,0.5789257330775555,112.35584579539851,1036.8559879419017
2430,51,Carlos Boozer,1610612739,CLE,75,2595,471,900,0.523,1,6,0.167,219,285,0.768,230,627,857,148,74,55,134,199,1162,1667,1.1,0.55,0.5666081529159352,105.11736433756451,1181.377998829725
949,27,Shareef Abdur-Rahim,1610612757,POR,85,2684,501,1054,0.475,9,34,0.265,373,429,0.869,189,450,639,174,68,37,184,222,1384,1509,0.95,0.37,0.5568251311596768,103.08587108226257,1412.6653577521001
977,14,Kobe Bryant,1610612747,LAL,65,2452,516,1178,0.438,71,217,0.327,454,533,0.852,103,256,359,330,112,28,171,176,1557,1474,1.93,0.66,0.5511426386883017,100.97195940654603,1592.2510831705035
2403,87,Nene,1610612743,DEN,77,2504,334,630,0.53,0,2,0.0,240,352,0.682,154,349,503,168,116,41,183,280,908,1145,0.92,0.63,0.5784323718275405,100.33123623905871,932.4329833859953
1905,42,Andrei Kirilenko,1610612762,UTA,78,2893,412,931,0.443,68,201,0.338,392,496,0.79,226,403,629,244,150,215,215,174,1284,1684,1.14,0.7,0.5586300511642477,100.06856897502534,1317.249660645296
1496,51,Keith Van Horn,1610612749,MIL,72,2344,410,903,0.454,93,233,0.399,249,290,0.859,149,352,501,120,68,33,169,215,1162,1181,0.71,0.4,0.5637492722685815,99.67972652359512,1181.6184746749468
956,85,Erick Dampier,1610612744,GSW,74,2406,348,650,0.535,0,2,0.0,217,332,0.654,344,543,887,60,33,137,131,227,913,1482,0.46,0.25,0.5734348306702843,93.42005349025612,935.8456436539041
2072,5,Michael Redd,1610612749,MIL,82,3021,633,1439,0.44,127,363,0.35,383,441,0.868,118,289,407,185,81,6,116,152,1776,1475,1.59,0.7,0.5437711262430804,91.53461937753187,1804.776368000784
697,169,Fred Hoiberg,1610612750,MIN,79,1804,178,383,0.465,76,172,0.442,98,116,0.845,21,247,268,109,66,10,44,136,530,716,2.48,1.5,0.6105428071145517,83.21727883806308,538.4987558750346
1497,39,Chauncey Billups,1610612765,DET,78,2758,392,996,0.394,130,335,0.388,404,460,0.878,35,241,276,446,84,8,189,177,1318,1283,2.36,0.44,0.5498998664886515,82.6513187813594,1348.3544726301736
2046,50,Desmond Mason,1610612749,MIL,82,2534,409,867,0.472,9,39,0.231,356,463,0.769,93,266,359,152,60,24,148,191,1183,1065,1.03,0.41,0.5524320083682008,79.61896699919308,1213.6931223849372
