PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV,TS%,fgadd,tstotal
201939,2,Stephen Curry,1610612744,GSW,80,2613,653,1341,0.487,286,646,0.443,308,337,0.914,56,285,341,619,163,16,249,158,1900,2073,2.49,0.66,0.6378921357971638,313.141225766771,1925.7963579716375
201935,1,James Harden,1610612745,HOU,81,2981,647,1470,0.44,208,555,0.375,715,824,0.868,75,384,459,565,154,60,321,208,2217,2202,1.76,0.48,0.6048915178766316,266.20090229753987,2276.8116732876415
2594,90,Kyle Korver,1610612737,ATL,75,2418,292,600,0.487,221,449,0.492,106,118,0.898,15,289,304,196,52,42,107,140,911,1078,1.83,0.49,0.6987053626211805,216.85939690258152,920.893667934716
2199,124,Tyson Chandler,1610612742,DAL,75,2286,293,440,0.666,0,0,0.0,185,257,0.72,294,570,864,84,42,91,105,169,771,1528,0.8,0.4,0.6970058581037101,185.14591395410284,792.4956606639183
200755,27,JJ Redick,1610612746,LAC,78,2409,447,938,0.477,200,458,0.437,183,203,0.901,22,145,167,137,39,8,95,134,1277,1022,1.44,0.41,0.6215200716427209,181.60362084521114,1292.140228945217
101108,10,Chris Paul,1610612746,LAC,82,2857,568,1170,0.485,139,349,0.398,289,321,0.9,52,324,376,838,156,15,190,203,1564,2125,4.41,0.82,0.5963820505780788,165.5498784573802,1586.9726365882677
202691,6,Klay Thompson,1610612744,GSW,77,2455,602,1299,0.463,239,545,0.439,225,256,0.879,27,220,247,222,87,60,149,122,1668,1407,1.49,0.58,0.5908021875265648,161.6321370356325,1686.1494432008158
203076,8,Anthony Davis,1610612740,NOP,68,2455,642,1199,0.535,1,12,0.083,371,461,0.805,173,523,696,149,100,200,95,141,1656,2059,1.57,1.05,0.5906522855675398,161.48673505908917,1688.6748844375963
201599,80,DeAndre Jordan,1610612746,LAC,82,2820,379,534,0.71,1,4,0.25,187,471,0.397,397,829,1226,61,81,183,109,245,946,1949,0.56,0.74,0.638119907182559,159.98099609291506,982.0665371539583
202685,75,Jonas Valanciunas,1610612761,TOR,80,2096,373,652,0.572,0,1,0.0,217,276,0.786,215,478,693,39,33,95,109,222,963,1376,0.36,0.3,0.6225434422838229,139.6321833981424,983.6186388084401
202681,9,Kyrie Irving,1610612739,CLE,75,2730,578,1235,0.468,157,378,0.415,315,365,0.863,55,182,237,389,114,20,186,146,1628,1495,2.09,0.61,0.5832616795643452,139.17875961036532,1653.5468615649186
2544,4,LeBron James,1610612739,CLE,69,2493,624,1279,0.488,120,339,0.354,375,528,0.71,51,365,416,511,109,49,272,135,1743,1748,1.88,0.4,0.5766482280390652,131.09200046515102,1779.5364317285553
202710,25,Jimmy Butler,1610612741,CHI,65,2513,421,912,0.462,73,193,0.378,386,463,0.834,114,265,379,212,114,36,93,108,1301,1381,2.28,1.23,0.5830315849854802,111.74954908752059,1333.3932348617934
