PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV,TS%,fgadd,tstotal
787,9,Charles Barkley,1610612755,PHL,79,3085,706,1177,0.6,20,92,0.217,557,744,0.749,361,548,909,307,148,50,243,250,1989,2502,1.26,0.61,0.6610784652609747,385.6191109936012,2048.0210853784997
252,2,Karl Malone,1610612762,UTH,82,3122,914,1627,0.562,16,43,0.372,696,913,0.762,232,679,911,226,121,50,304,259,2540,2614,0.74,0.4,0.6260104893726093,372.55309873733125,2608.585709215663
397,6,Reggie Miller,1610612754,IND,82,3192,661,1287,0.514,150,362,0.414,544,627,0.868,95,200,295,311,110,18,222,175,2016,1819,1.4,0.49,0.6449631449631449,346.8547481354646,2064.5270270270266
904,10,Chris Mullin,1610612744,GOS,78,2830,682,1272,0.536,87,234,0.372,505,568,0.889,130,333,463,319,123,45,239,142,1956,2014,1.33,0.52,0.6426093355761143,329.8858093542481,1999.8002523128678
893,1,Michael Jordan,1610612741,CHI,82,3197,1034,1964,0.526,92,245,0.376,593,699,0.848,143,422,565,519,227,54,247,241,2753,2835,2.1,0.92,0.6059712268220958,320.95800289094876,2803.828866505837
121,3,Patrick Ewing,1610612752,NYK,82,3165,922,1673,0.551,1,4,0.25,502,648,0.775,235,658,893,182,78,327,278,325,2347,2652,0.66,0.28,0.599299327926787,250.40155263652585,2393.6015157395873
77142,16,Magic Johnson,1610612747,LAL,79,2937,546,1138,0.48,106,276,0.384,567,637,0.89,128,394,522,907,132,34,289,167,1765,2409,3.14,0.46,0.6222325633866373,249.43338891312195,1812.5634571452747
1450,19,Kevin McHale,1610612738,BOS,82,2722,648,1181,0.549,23,69,0.333,393,440,0.893,201,476,677,172,30,157,183,250,1712,1985,0.94,0.16,0.6227266113778555,241.31304054024577,1744.879965080751
764,8,David Robinson,1610612759,SAN,82,3002,690,1300,0.531,0,2,0.0,613,837,0.732,303,680,983,164,138,319,257,259,1993,2506,0.64,0.54,0.5973217925048553,208.6839659906093,2052.9950008391875
305,56,Robert Parish,1610612738,BOS,79,2396,505,871,0.58,0,0,0.0,233,312,0.747,259,537,796,103,38,69,169,189,1243,1635,0.61,0.23,0.6163962391399215,163.8914144488599,1266.0778751933988
1472,4,Tom Chambers,1610612756,PHX,81,3046,810,1617,0.501,24,86,0.279,557,647,0.861,121,450,571,190,88,47,218,260,2201,1982,0.87,0.4,0.5786988347145682,163.36656791207108,2245.9301775272393
